generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1765429582-SV1TqRto46VlIVpdcfhm,2025-12-11 05:06:22.280,0,,,0,0.000457,409,134,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1221,622,,GenEval
gen-1765429577-2XF13mQfcUMWNnWnzIhE,2025-12-11 05:06:17.866,0,,,0,0.002207,372,367,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,3515,737,,GenEval
gen-1765429573-5w0rpLKVHo9WFTybMbeJ,2025-12-11 05:06:13.556,0,,,0,0.001869,354,303,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,3012,987,,GenEval
gen-1765429570-t4tLIaLICl97lxZEeRZF,2025-12-11 05:06:10.687,0,,,0,0.001359,359,200,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,1333,1167,,GenEval
gen-1765429569-h1RyrKkTELPV3nVtCGMM,2025-12-11 05:06:09.171,0,,,,0.000662,122,51,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,500,687,,GenEval
gen-1765429566-uwx8yXJ6Rals7CqElFpM,2025-12-11 05:06:06.138,0,,,0,0.001668,318,270,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2303,608,,GenEval
gen-1765429564-a7eLzKYBp9PdE5SqmYDJ,2025-12-11 05:06:04.972,0,,,,0.000515,196,27,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,301,415,,GenEval
gen-1765429561-wbJts0V34zUSvjBCYLNx,2025-12-11 05:06:01.881,0,,,0,0.001752,322,286,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2312,598,,GenEval
gen-1765429560-cQNWd89mwYE6ddfxLQHB,2025-12-11 05:06:00.552,0,,,,0.000682,122,53,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,348,632,,GenEval
gen-1765429559-LkMux6NtcRYy38QC4es7,2025-12-11 05:05:59.539,0,,,,0.000583,123,43,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,238,350,,GenEval
gen-1765429558-a0CXRlh3Ak3xkNS0HPcG,2025-12-11 05:05:58.622,0,,,,0.00063,136,46,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,264,337,,GenEval
gen-1765429557-hgQAlvQOrPfsuFBSwdpz,2025-12-11 05:05:57.280,0,,,0,0.000487,458,140,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1266,636,,GenEval
gen-1765429555-TqNqfx3IR02JhkXrQbgr,2025-12-11 05:05:55.964,0,,,,0.00093,136,76,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,583,363,,GenEval
gen-1765429554-g3dsxLvkdYLGWUvNunaM,2025-12-11 05:05:54.313,0,,,0,0.000584,458,179,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1466,834,,GenEval
gen-1765429553-zawyHkZDUz7vATY93nZf,2025-12-11 05:05:53.002,0,,,,0.00084,136,67,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,502,376,,GenEval
gen-1765429551-xQmgNxcsHDErVdBEhYQk,2025-12-11 05:05:51.258,0,,,0,0.000612,458,190,0,0,google/gemini-2.5-flash,Google AI Studio,standard,false,true,,STOP,stop,1401,582,,GenEval
gen-1765429546-9OUT7oYUK1fe6E6vkMY2,2025-12-11 05:05:46.931,0,,,0,0.002367,477,378,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2912,813,,GenEval
gen-1765429537-q1Pv9IOSOznCC1bJOaiC,2025-12-11 05:05:37.628,0,,,0,0.002353,428,385,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,7211,1851,,GenEval
gen-1765429533-rz6SlINs0Nf57pDiLl9t,2025-12-11 05:05:33.220,0,,,0,0.002718,433,457,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,3142,951,,GenEval
gen-1765429532-nCWiQY64E2YDia1fUlta,2025-12-11 05:05:32.002,0,,,,0.00106,136,89,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,530,389,,GenEval
gen-1765429528-E0O4Y2clBOBfrYjFihvh,2025-12-11 05:05:28.606,0,,,0,0.001632,377,251,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2260,730,,GenEval
gen-1765429527-qGMeJncbxwEE9MFYP22G,2025-12-11 05:05:27.607,0,,,,0.000867,190,63,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,328,310,,GenEval
gen-1765429523-kRztkYpE6oY69OnOO6B0,2025-12-11 05:05:23.480,0,,,0,0.001761,381,276,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,2793,1093,,GenEval
gen-1765429522-URuTy5WodAIxOVM8eImu,2025-12-11 05:05:22.261,0,,,,0.00084,136,67,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,498,397,,GenEval
