generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766181820-NAk6hm6F9zHfg4rHaxUQ,2025-12-19 22:03:40.298,0,,,,0.005204,9383,171,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2309,1191,,GenEval
gen-1766181820-qFmOc0G7e54SmiWvtAnh,2025-12-19 22:03:40.003,0.001697,,,0,0,2105,438,0,843,z-ai/glm-4.6,Novita,exacto,false,true,,tool_calls,tool_calls,6768,28955,,GenEval
gen-1766181819-PcG473lYgnJ3IJ5qxI6k,2025-12-19 22:03:39.145,0,,,,0.000329,232,71,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1100,764,,GenEval
gen-1766181816-fK1DC6xr8YUpKxu2eWVN,2025-12-19 22:03:36.572,0,,,,0.011168,20669,278,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2473,1053,,GenEval
gen-1766181813-uVlbRlUCZYL1o5Qo39cg,2025-12-19 22:03:33.749,0,,-0.001716,,0.001968,5409,327,0,3815,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2672,899,,GenEval
gen-1766181812-Wlszez0Ta54L74zrT0Y6,2025-12-19 22:03:32.719,0,,,,0.000311,232,65,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,974,661,,GenEval
gen-1766181811-LelPLz9ziqeHOMlOQQ4N,2025-12-19 22:03:31.125,0,,-0.002688,0,0.00474,2370,336,0,1792,openai/gpt-4.1-2025-04-14,OpenAI,standard,false,true,,completed,tool_calls,8337,382,,GenEval
gen-1766181810-rBcJAJejOMOvMy3mSI1g,2025-12-19 22:03:30.856,0,,,,0.002485,3602,228,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1813,706,,GenEval
gen-1766181807-984Khqx69rWGk5tIG7a3,2025-12-19 22:03:27.776,0,,,,0.003848,5417,380,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,3023,899,,GenEval
gen-1766181806-dGhQuuilY5plXNBCF2Kk,2025-12-19 22:03:26.713,0,,,,0.000314,232,66,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,992,749,,GenEval
gen-1766181804-Tz9EnITFDfm2Az7Rbzm4,2025-12-19 22:03:24.718,0,,,,0.001892,2608,196,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1917,852,,GenEval
gen-1766181802-rgSaVMPsk1zEdlig7Txk,2025-12-19 22:03:22.454,0,,,0,0.016542,3139,475,0,0,anthropic/claude-4.5-sonnet-20250929,Amazon Bedrock,standard,false,true,,tool_calls,tool_calls,6035,2118,,GenEval
gen-1766181802-F2jdR373QsgBLEhYKm2q,2025-12-19 22:03:22.273,0,,-0.001722,,0.001945,5650,281,0,3827,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2357,788,,GenEval
gen-1766181801-Vtxw61HnSyoVolLgjOFk,2025-12-19 22:03:21.296,0,,,,0.00032,232,68,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,904,638,,GenEval
gen-1766181799-qdnXaPIgxz91TCzVZwLW,2025-12-19 22:03:19.246,0,,,,0.001012,536,248,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2004,636,,GenEval
gen-1766181798-6C7qSAicS2Ki1BOAjUHK,2025-12-19 22:03:18.975,0.000282,,-0.000061,0,0,1504,275,0,587,z-ai/glm-4.5-air,Novita,standard,false,true,,stop,stop,2841,469,,GenEval
gen-1766181797-O50GHR4UgFIjzk5VLsul,2025-12-19 22:03:17.845,0,,,,0.000638,514,127,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1280,649,,GenEval
gen-1766181796-VHUcUqUIO6zRv6IUu3iL,2025-12-19 22:03:16.914,0,,,,0.003631,1473,179,0,0,openai/gpt-5.1-chat-20251113,OpenAI,standard,false,true,,completed,stop,1446,413,,GenEval
gen-1766181796-ziQiMFi0EKZQSHUwzfqT,2025-12-19 22:03:16.533,0,,,,0.001043,1342,124,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1239,672,,GenEval
gen-1766181792-uUkkIT3HkHhZqv7TeL4c,2025-12-19 22:03:12.767,0,,-0.001717,,0.001858,5417,289,0,3816,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2611,826,,GenEval
gen-1766181791-sCm8pThVcwCZJLcOybud,2025-12-19 22:03:11.739,0,,,,0.000332,232,72,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,961,646,,GenEval
